Time(s),Velocity(m/s) A8 ubx,metric A8 ubx,E A8 ubx,N A8 ubx,U A8 ubx,Velocity(m/s) Tesla ubx,metric Tesla ubx,E Tesla ubx,N Tesla ubx,U Tesla ubx,Velocity(m/s) BMW ubx,metric BMW ubx,E BMW ubx,N BMW ubx,U BMW ubx,Velocity(m/s) A6 ubx,metric A6 ubx,E A6 ubx,N A6 ubx,U A6 ubx,Velocity(m/s) Mercedes ubx,metric Mercedes ubx,E Mercedes ubx,N Mercedes ubx,U Mercedes ubx
47856.3,16.57721484,0.55,155.19888,670.5907565,0.48968907700000003,16.30864549,1.0,177.58087869999997,634.6796147000001,-3.3558662139999997,17.12533706,0.35,204.21225890000002,596.9840365,0.574013172,17.057000000000002,0.35,232.27367769999998,555.5314747,0.629025408,17.017,0.6,249.1810148,527.8783311000001,0.574135263
47856.4,16.570999999999998,0.55,154.30226330000002,671.9580480000001,0.48907568,16.30407284,1.0,176.668814,636.0374914,-3.3559761439999996,17.128,0.35,203.26069209999997,598.4088702,0.57272972,17.05007073,0.333333334,231.32964520000002,556.9524493,0.627361484,17.03747165,0.590000001,248.23730750000001,529.2923557,0.573425223
47856.5,16.57015499,0.55,153.4049815,673.3279571,0.488354689,16.29941833,1.0,175.7580064,637.3956896000001,-3.356086561,17.13296126,0.333333334,202.3044415,599.8309678999999,0.5711185639999999,17.04256933,0.316666668,230.38133190000002,558.371627,0.625652207,17.05717947,0.580000001,247.29423160000002,530.7078018,0.572751945
47856.6,16.57377069,0.55,152.5070944,674.6998875,0.487560186,16.2947632,1.0,174.8483965,638.7541937999999,-3.35619746,17.13959113,0.316666668,201.3470361,601.25464,0.56938785,17.032,0.300000001,229.43005359999998,559.7857958999999,0.623904284,17.07665146,0.570000001,246.3506525,532.1245449,0.5720840110000001
47856.7,16.580408900000002,0.55,151.6087241,676.07291,0.486737873,16.29018868,1.0,173.9399249,640.112989,-3.356308838,17.147000000000002,0.300000001,200.3933342,602.6854857000001,0.567827541,17.01690673,0.3,228.47723560000003,561.1932467,0.6221311629999999,17.09641564,0.560000001,245.40543540000002,533.5424605000001,0.571390006
47856.8,16.5886314,0.55,150.7099928,677.4460953,0.485933451,16.28577601,1.0,173.0325323,641.4720599,-3.356420693,17.15452033,0.3,199.4466617,604.1269093999999,0.566640984,16.99999248,0.3,227.52474049999998,562.5982818,0.620373256,17.117,0.550000001,244.45744580000002,534.9614239,0.570638515
47856.9,16.597,0.55,149.8110226,678.8185139999999,0.485192623,16.28160642,1.0,172.1261593,642.8313912000001,-3.3565330189999996,17.16237276,0.3,198.5042179,605.5735351,0.565685042,16.985,0.3,226.57454040000002,564.0067062999999,0.618677713,17.13874136,0.558333333,243.50584019999997,536.3814234,0.56980639
47857.0,16.60437861,0.55,148.9119474,680.1895329,0.484551004,16.27776113,1.0,171.2207467,644.1909678,-3.356645815,17.171,0.3,197.5616701,607.0177922,0.564729955,16.97489496,0.3,225.6280664,565.4224982000001,0.617076222,17.16121174,0.566666666,242.5509404,537.8028982999999,0.568903564
47857.1,16.61083967,0.55,148.0129478,681.5597035000001,0.484003859,16.2743214,1.0,170.3162349,645.5507744,-3.3567590760000003,17.18043891,0.3,196.61550400000002,608.4541856000001,0.563593809,16.96953483,0.3,224.68458590000003,566.8423263,0.615538606,17.18379197,0.575,241.59335950000002,539.226401,0.5679482370000001
47857.2,16.61675777,0.55,147.1142163,682.9298732000001,0.483536366,16.27136843,1.0,169.4125648,646.9107958,-3.3568727989999996,17.18910302,0.3,195.6654779,609.8855229,0.5622860510000001,16.968,0.3,223.7428253,568.2610323,0.614019225,17.20586287,0.583333333,240.6337107,540.6524836,0.56695861
47857.3,16.62250747,0.55,146.2159452,684.3008896000001,0.483133704,16.26898348,1.0,168.50967680000002,648.2710168,-3.35698698,17.195,0.3,194.7121686,611.3166876,0.56086397,16.96895787,0.3,222.801583,569.6747262,0.61248084,17.22680527,0.5916666660000001,239.6726069,542.0816982999999,0.565952885
47857.4,16.62846335,0.55,145.318327,685.6736002,0.48278105200000004,16.26724778,1.0,167.60751169999998,649.6314222,-3.3571016160000005,17.19683514,0.3,193.7561739,612.7514052,0.559378489,16.96942376,0.3,221.85994419999997,571.0845929,0.610919832,17.246,0.6,238.71066119999998,543.5145972999999,0.5649492620000001
47857.5,16.635,0.55,144.4215542,687.0488525000001,0.482463586,16.26628851,0.8500000090000001,166.706067,650.9919256000001,-3.3572166969999997,17.19610406,0.3,192.7981762,614.1887707000001,0.557855064,16.965999999999998,0.3,220.9170659,572.4930857999999,0.609340984,17.26292606,0.6083333329999999,237.74841490000003,544.9514908,0.5639618789999999
47857.6,16.64228794,0.540000001,143.52579530000003,688.4270927,0.48216626100000004,16.26641669,0.700000009,165.805568,652.3521562000001,-3.357332192,17.195,0.3,191.8388789,615.6267211,0.556312782,16.95660691,0.3,219.9721386,573.9022985,0.607741668,17.27745517,0.616666666,236.7861212,546.391721,0.562988625
47857.7,16.64968156,0.530000001,142.6311242,689.8071621,0.48187312299999996,16.26798931,0.550000009,164.9062969,653.7116724,-3.3574480610000004,17.1951835,0.31666666600000004,190.8791845,617.0636864,0.554775024,16.944436800000002,0.3,219.02448650000002,575.3128852000001,0.6060896139999999,17.28955722,0.625,235.8239616,547.8343883,0.562023325
47857.8,16.65633122,0.520000001,141.73759109999997,691.1875003,0.48156799299999997,16.27136333,0.400000009,164.0085358,655.0700322,-3.357564265,17.19618443,0.333333332,189.92079099999998,618.5000672,0.5532823379999999,16.934,0.3,218.073467,576.7251403,0.604345138,17.29920212,0.6333333329999999,234.86211749999998,549.2785927,0.561059804
47857.9,16.66138725,0.510000001,140.8452461,692.5665472999999,0.481234693,16.27681433,0.4,163.1124289,656.4269034,-3.357680775,17.197,0.349999999,188.9655954,619.9367568,0.551879563,16.92872563,0.3,217.1191136,578.1387039,0.602491134,17.30635974,0.641666666,233.90077030000003,550.7234346,0.560091887
47858.0,16.664,0.500000001,139.9541393,693.9427429,0.480857043,16.28429217,0.4,162.2175678,657.782392,-3.357797588,17.19707501,0.36249999899999996,188.0148926,621.3744947,0.550596744,16.92771794,0.3,216.16416319999996,579.5505994,0.6006007879999999,17.311,0.65,232.94010130000004,552.1680140999999,0.5591134
47858.1,16.66365041,0.5,139.06425349999998,695.3150529,0.480427151,16.29366531,0.4,161.3234064,659.1367137,-3.357914712,17.19764475,0.374999999,187.0675691,622.8134039,0.5494047470000001,16.929000000000002,0.3,215.2120287,580.9571959,0.598769862,17.31317014,0.65,231.98023369999999,553.6116417000001,0.558119815
47858.2,16.66114175,0.5,138.1753031,696.684547,0.47997027,16.30480222,0.4,160.42939819999998,660.490084,-3.358032153,17.20039212,0.387499999,186.12190959999998,624.2534539,0.5482596439999999,16.93078689,0.3,214.26492830000004,582.3561892000001,0.5970624,17.31322684,0.65,231.02105690000002,555.0544687,0.557113199
47858.3,16.65760789,0.5,137.2869351,698.0528207,0.479519938,16.3172919,0.4,159.5349406,661.8429025,-3.3581499360000002,17.207,0.399999999,185.1761986,625.6946137,0.547117506,16.93206181,0.3,213.3203014,583.7505824,0.5954155760000001,17.31160414,0.65,230.062402,556.4968566,0.556097264
47858.4,16.65418269,0.5,136.3987965,699.4214697000001,0.479109694,16.329605599999997,0.4,158.6392046,663.1963047999999,-3.3582681610000003,17.21842169,0.38750000100000004,184.22906940000001,627.1367569,0.545937424,16.932000000000002,0.3,212.3743926,585.1447052,0.593734844,17.30873606,0.65,229.1041001,557.939167,0.555075723
47858.5,16.652,0.5,135.5105342,700.7920893999999,0.47877307700000005,16.33993511,0.4,157.741305,664.5516104,-3.358386945,17.23269207,0.375000001,183.2805517,628.5793742000001,0.5446905670000001,16.93008978,0.31666666600000004,211.42490550000002,586.5419467999999,0.591962481,17.30505666,0.65,228.14598230000004,559.3817612,0.55405229
47858.6,16.65187842,0.5,134.62184330000002,702.1659187000001,0.47853268299999996,16.34647222,0.4,156.8403563,665.9101386,-3.358506406,17.24711642,0.362500001,182.3310236,630.0218606000001,0.543351125,16.92707185,0.333333332,210.4753796,587.9419342,0.5901880420000001,17.30099996,0.65,227.1878798,560.8250009,0.5530306770000001
47858.7,16.65337542,0.5,133.73260990000003,703.5427688999999,0.478367331,16.34813368,0.4,155.9358374,667.2729436000001,-3.358626642,17.259,0.350000001,181.3808637,631.4636113,0.541893286,16.924,0.349999999,209.5308133,589.3433536,0.588537905,17.297,0.65,226.22962349999997,562.2692475,0.552014597
47858.8,16.65573322,0.5,132.842768,704.9220946,0.47824490000000003,16.34673598,0.4,155.0286834,668.6400177999999,-3.358747679,17.26622369,0.35,180.4302676,632.9042579,0.540309401,16.92161163,0.35,208.59462280000002,590.7448454,0.587096822,17.29340055,0.6416666670000001,225.2711165,563.7147183,0.5510060760000001
47858.9,16.65819401,0.5,131.9522515,706.3033502000001,0.478133265,16.34482057,0.4,154.1201934,670.0110882,-3.3588695239999997,17.26897075,0.35,179.4787011,634.3443797,0.538664465,16.91937857,0.35,207.6638955,592.1448657000001,0.585783044,17.2901843,0.633333334,224.3125489,565.1610536000001,0.55000038
47859.0,16.66,0.5,131.06099469999998,707.6859905,0.47800030299999996,16.34492889,0.4,153.2116665,671.3858819,-3.358992184,17.268,0.35,178.52544730000002,635.7847926,0.537041636,16.91645621,0.35,206.7341366,593.5418248,0.584473198,17.28724369,0.625,223.3541825,566.6077492000001,0.548991088
47859.1,16.66060392,0.5,130.1689976,709.0694802,0.477822525,16.34881477,0.4,152.3040866,672.7638433,-3.359115628,17.26388099,0.36249999899999996,177.57008869999999,637.225953,0.535506892,16.912,0.35,205.80085119999998,594.934133,0.58304391,17.28447115,0.6166666670000001,222.39627919999998,568.0543012999999,0.547971778
47859.2,16.66030056,0.5,129.2765254,710.4533261,0.47761097,16.35508159,0.4,151.3971755,674.1432875,-3.359239671,17.256426,0.374999999,176.6134062,638.6668787000001,0.534057491,16.90546229,0.333333334,204.86103500000002,596.3209775,0.581414685,17.28175911,0.608333334,221.4391011,569.5002057,0.54693603
47859.3,16.65959524,0.5,128.3839097,711.8370451000001,0.477385312,16.36154512,0.4,150.4903395,675.5222466,-3.35936409,17.24525801,0.387499999,175.65647990000002,640.1062276,0.532673514,16.89748326,0.316666668,203.91764609999998,597.7046546,0.5796765460000001,17.279,0.6,220.48291,570.9449585,0.545877421
47859.4,16.65899328,0.5,127.4914818,713.2201544,0.477165224,16.36602111,0.4,149.5829852,676.8987531,-3.3594886610000003,17.23,0.399999999,174.70039,641.5426578,0.5313350379999999,16.889,0.300000001,202.9751332,599.0882374,0.577963394,17.27606573,0.6,219.5278974,572.3881253,0.54479168
47859.5,16.659000000000002,0.5,126.59957309999999,714.6021709,0.476970379,16.36705478,0.44999999700000004,148.6746421,678.2713643999999,-3.35961322,17.21067295,0.4,173.7459238,642.9751965,0.5300241520000001,16.88084238,0.3,202.03705159999998,600.4738064,0.576375386,17.27274611,0.6,218.57397369999998,573.8295509,0.5436831329999999
47859.6,16.65985791,0.509999999,125.7084402,715.9827487000001,0.476815728,16.36610917,0.49999999700000003,147.7653331,679.6407379999999,-3.359737838,17.188889899999996,0.4,172.792696,644.4043473999999,0.52873097,16.87341119,0.3,201.10338280000002,601.8594704,0.574877703,17.26881044,0.6,217.62097880000002,575.2691497999999,0.5425582529999999
47859.7,16.66075834,0.5199999989999999,124.81804040000002,717.3620897000001,0.476697339,16.36537675,0.549999997,146.8552041,681.0080566,-3.359862643,17.166661899999998,0.4,171.8400283,645.8309835,0.527447615,16.867,0.3,200.1732148,603.2423451000001,0.57340178,17.264028,0.6,216.6687526,576.7068362000001,0.541423517
47859.8,16.66062981,0.5299999989999999,123.9282561,718.7405329,0.476606555,16.36705,0.5999999970000001,145.9444013,682.3745026,-3.3599877639999995,17.146,0.4,170.88724240000002,647.2559776,0.526166209,16.86198302,0.31666666600000004,199.2456545,604.6210251,0.5718984,17.25816809,0.6,215.7171349,578.1425247000001,0.540285397
47859.9,16.65840086,0.539999999,123.03896979999999,720.1184174,0.476534723,16.37275594,0.624999999,145.0330826,683.7410093999999,-3.360113304,17.12836472,0.4,169.9339521,648.6800467999999,0.524882458,16.85905716,0.333333332,198.319882,606.0000201,0.5703957279999999,17.250999999999998,0.6,214.76596580000003,579.5761297,0.539150371
47860.0,16.653,0.549999999,122.15006399999999,721.4960819,0.476473187,16.38185967,0.6499999989999999,144.1214537,685.1075126000001,-3.3602392589999996,17.11301441,0.4,168.9809406,650.1032856,0.52360639,16.859,0.349999999,197.39509650000002,607.3853184999999,0.5689412779999999,17.24240598,0.591666667,213.81506480000002,581.0076694,0.5380228579999999
47860.1,16.64367993,0.55,121.26140349999999,722.8736859,0.476411883,16.39316084,0.6749999990000001,143.2097322,686.4736984,-3.3603655989999996,17.09865689,0.4,168.0292831,651.5256326,0.522351614,16.86213585,0.35,196.4704836,608.7810012,0.56756349,17.23272014,0.583333334,212.8641696,582.4375769,0.536899066
47860.2,16.63098994,0.55,120.37278300000001,724.2506691000001,0.47633510799999995,16.40545908,0.6999999990000001,142.2981357,687.8392531000001,-3.360492295,17.084,0.4,167.08005480000003,652.9470265,0.521131742,16.86697588,0.35,195.5451766,610.1835204,0.566214517,17.22238955,0.575,211.9129978,583.8663891,0.535773151
