Time(s),Velocity(m/s) A8 azd,metric A8 azd,E A8 azd,N A8 azd,U A8 azd,Velocity(m/s) Tesla azd,metric Tesla azd,E Tesla azd,N Tesla azd,U Tesla azd,Velocity(m/s) BMW azd,metric BMW azd,E BMW azd,N BMW azd,U BMW azd,Velocity(m/s) A6 azd,metric A6 azd,E A6 azd,N A6 azd,U A6 azd,Velocity(m/s) Mercedes azd,metric Mercedes azd,E Mercedes azd,N Mercedes azd,U Mercedes azd
47856.4,16.36090909,0.1,153.413749,672.8751597,-0.170496039,16.32727273,0.1,176.74669790000002,637.0958224,-0.133795122,17.1,0.1,203.11476409999997,597.4910787,-0.097944584,16.90818182,0.1,229.67451269999998,557.8698136,-0.070352443,17.03909091,0.1,248.0274694,530.3770344999999,-0.047495983
47856.5,16.36,0.1,152.50669230000003,674.2372397999999,-0.171689989,16.31888889,0.1,175.8390247,638.4512708999999,-0.135051486,17.10777778,0.1,202.1664642,598.9138948,-0.09932393699999999,16.9,0.1,228.7414866,559.2793156,-0.07142786799999999,17.05666667,0.1,247.07913219999998,531.7929437,-0.048426672999999996
47856.6,16.35545455,0.1,151.5995702,675.5988925,-0.172920627,16.31181818,0.1,174.9310276,639.8055722,-0.13631854699999998,17.11454545,0.1,201.2172876,600.3369922999999,-0.10072049599999999,16.89181818,0.1,227.80879769999999,560.6885817000001,-0.07253828400000001,17.07545454,0.1,246.1302007,533.2113843999999,-0.049389917
47856.7,16.35666667,0.1,150.6924186,676.9602642000001,-0.17417122300000001,16.30444444,0.1,174.0234639,641.1593111000001,-0.137550013,17.12222222,0.1,200.2686404,601.7611363,-0.102115159,16.88555556,0.1,226.8762116,562.0963517000001,-0.073660655,17.09444444,0.1,245.18117949999998,534.631749,-0.050378809000000004
47856.8,16.35272727,0.1,149.7861508,678.3217149000001,-0.175440425,16.30363636,0.1,173.1156844,642.5122852999999,-0.138789395,17.12909091,0.1,199.32094919999997,603.1869568,-0.103474859,16.88090909,0.1,225.943464,563.5039081,-0.074789088,17.11272727,0.1,244.2314199,536.0540375,-0.051340259000000006
47856.9,16.35333333,0.1,148.88006399999998,679.6831659,-0.176729797,16.29666667,0.1,172.20790559999998,643.8654958999999,-0.14004614,17.13666667,0.1,198.373595,604.6140713,-0.104769215,16.87444444,0.1,225.0110055,564.9104186000001,-0.075896909,17.14,0.1,243.28065130000002,537.4783512,-0.05233139
47857.0,16.35272727,0.1,147.9737073,681.0441332,-0.17802217399999998,16.29,0.1,171.30034369999998,645.2179868,-0.141258631,17.14636364,0.1,197.42650580000003,606.0424911,-0.106026964,16.87,0.1,224.07813309999997,566.3158943,-0.077020758,17.16818182,0.1,242.3280988,538.9043862000001,-0.05337859
47857.1,16.35333333,0.1,147.06751359999998,682.4049546,-0.17929186100000002,16.28888889,0.1,170.3924821,646.5698252999999,-0.142514655,17.15555556,0.1,196.4802044,607.4723285,-0.107299613,16.86222222,0.1,223.1454057,567.7192888999999,-0.078151925,17.19333333,0.1,241.37457340000003,540.3327501,-0.054406492
47857.2,16.35272727,0.1,146.1619693,683.7661473999999,-0.180540516,16.27727273,0.1,169.4844648,647.9209553,-0.143764144,17.15909091,0.1,195.534228,608.9029875,-0.108556062,16.85636364,0.1,222.21248070000001,569.1215026000001,-0.079323444,17.21818182,0.1,240.42007519999999,541.7638479,-0.055379690999999995
47857.3,16.35111111,0.1,145.255957,685.1271154,-0.181795546,16.27555556,0.1,168.5772593,649.2716806,-0.144972951,17.16444444,0.1,194.5878737,610.3346703999999,-0.10979930800000001,16.85,0.1,221.2794122,570.5233339,-0.080491665,17.24777778,0.1,239.46453190000003,543.1974209,-0.056356172
47857.4,16.34909091,0.1,144.34958480000003,686.4877573,-0.183071581,16.27272727,0.1,167.6698321,650.6225072999999,-0.146214087,17.17181818,0.1,193.6416823,611.7666235,-0.111046042,16.84545455,0.1,220.346128,571.9246817000001,-0.081665745,17.27545454,0.1,238.50810589999998,544.6342452,-0.057310441
47857.5,16.35,0.1,143.4432132,687.8481632,-0.184372514,16.27555556,0.1,166.7624356,651.9734129,-0.147430964,17.18,0.1,192.6944221,613.1991168999999,-0.11234174,16.84,0.1,219.4126943,573.3251522,-0.08287756,17.29777778,0.1,237.5511878,546.0734772999999,-0.05825814
47857.6,16.34909091,0.1,142.53677019999998,689.2087606,-0.18570103300000002,16.28090909,0.1,165.8548774,653.3251738,-0.148673728,17.18,0.1,191.7465977,614.6317791,-0.113664871,16.83545455,0.1,218.47907510000002,574.7248242000001,-0.084104725,17.31727273,0.1,236.5940298,547.5154769999999,-0.059259774
47857.7,16.35,0.1,141.630538,690.5695831,-0.18700161699999998,16.28222222,0.1,164.9476803,654.6772497999999,-0.149877281,17.18666667,0.1,190.7983294,616.0640591,-0.114969375,16.83111111,0.1,217.5446574,576.1232589,-0.085332724,17.33,0.1,235.63658999999998,548.9586919,-0.060294587000000004
47857.8,16.34727273,0.1,140.7243906,691.9305747000001,-0.18827513699999998,16.29454545,0.1,164.0399791,656.0299673,-0.151082888,17.19,0.1,189.8491364,617.4967329,-0.11628863099999999,16.83,0.1,216.60942930000002,577.5210187999999,-0.086562487,17.33,0.1,234.67919890000002,550.4028857999999,-0.061340005999999996
47857.9,16.34555556,0.1,139.81786519999997,693.2912514,-0.18956066800000002,16.30222222,0.1,163.13173769999997,657.3835625,-0.15230608699999998,17.2,0.1,188.89867030000002,618.9292495,-0.117616231,16.82666667,0.1,215.673649,578.9183962999999,-0.08780286699999999,17.33111111,0.1,233.722193,551.8473723999999,-0.062389457999999995
47858.0,16.34636364,0.1,138.9115267,694.6526932999999,-0.19085569600000002,16.31,0.1,162.22313640000002,658.7376977999999,-0.153544736,17.2,0.1,187.94843319999998,620.3625988,-0.11893803300000001,16.82181818,0.1,214.7369201,580.3148852999999,-0.08907248699999999,17.33,0.1,232.7651818,553.2923206,-0.063452469
47858.1,16.34666667,0.1,138.00559140000001,696.0142817000001,-0.192150641,16.31555555,0.1,161.3141451,660.0913609,-0.154759944,17.20444444,0.1,186.9996086,621.7969158,-0.120164355,16.82111111,0.1,213.7997353,581.7099457,-0.090369379,17.32666667,0.1,231.80918680000002,554.7366727000001,-0.06450958700000001
